PuzzleId,GameId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
001xl,bEQkfPQD/black#80,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1126,81,94,11642,"['advantage' 'endgame' 'master' 'masterVsMaster' 'short' 'skewer'
 'superGM']",
002CP,pHZnIFdb#47,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,925,84,69,89,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],
002Ds,2SrvOtZN/black#90,8/1pp5/p2p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 b - - 0 45,b7b6 b4b5 c3d1 e3e2 a6b5 a5a6,1992,76,90,113,['crushing' 'endgame' 'knightEndgame' 'long'],
002GQ,2K7g2pDT#55,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/5RK1 w - - 0 28,f1c1 c3e2 g1f1 e2c1,654,81,73,134,['crushing' 'endgame' 'fork' 'short'],
002HE,U21EXYdv#39,1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20,g1f2 b8g3,1063,76,100,461,['master' 'mate' 'mateIn1' 'middlegame' 'oneMove'],
002Hv,rLJ8Hp1v#111,8/8/8/3N2p1/5b2/3p3P/5kP1/3K4 w - - 16 56,d5f4 g5f4 h3h4 f2g2 h4h5 f4f3 d1d2 f3f2,1621,86,63,26,['advancedPawn' 'crushing' 'endgame' 'veryLong'],
002IE,fDwvVUIp/black#32,r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16,c6e5 d4e5 d6e7 e5f6,1205,85,74,35,['advantage' 'fork' 'middlegame' 'short'],['Queens_Pawn_Game' 'Queens_Pawn_Game_Accelerated_London_System']
002KJ,2NpTzh7O/black#20,r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10,f8e7 f3e5 c7e5 e2g4,1643,76,90,1723,['crushing' 'discoveredAttack' 'middlegame' 'short'],['Caro-Kann_Defense' 'Caro-Kann_Defense_Advance_Variation']
002LF,md88dHiL/black#76,7r/p2q1pk1/1pp3p1/8/6P1/4Q3/PP1R1P1r/5KN1 b - - 0 38,d7g4 e3e5 f7f6 e5c7 g7h6 c7h2,2169,81,89,506,['advantage' 'endgame' 'interference' 'long'],
002LW,0khwj5dv/black#56,3r1rk1/1b1n1pp1/3p4/p4PPQ/4P3/3q1BN1/8/2R2RK1 b - - 1 28,d7e5 f5f6 e5f3 f1f3,2464,88,78,115,['advantage' 'middlegame' 'short'],
002Mm,wAkPv4uG/black#32,rn1qr1k1/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 b Q - 2 16,g8f8 h7h8 f8e7 h8g7,1164,76,100,132,['deflection' 'mate' 'mateIn2' 'middlegame' 'short'],['Three_Knights_Opening' 'Three_Knights_Opening_Other_variations']
002O7,dFEPPiEc/black#28,r3qrk1/2p2pp1/p2bpn1p/2ppNb2/3P1P2/1PP1P1B1/P2N2PP/R2Q1RK1 b - - 0 14,f5g4 e5g4 f6g4 d1g4,966,94,91,352,['crushing' 'middlegame' 'short'],['Queens_Pawn_Game' 'Queens_Pawn_Game_Accelerated_London_System']
002Q2,yqAJ1jMv#55,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,842,81,100,218,['cornerMate' 'mate' 'mateIn1' 'middlegame' 'oneMove'],
002Tf,Zq56PwHK#13,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1564,75,84,178,['advantage' 'fork' 'opening' 'short'],['Queens_Pawn_Game' 'Queens_Pawn_Game_Chigorin_Variation']
002Ua,06i3eMVp#31,r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16,g1h1 f6f4 d1f3 f4f3,1745,75,95,7995,['crushing' 'kingsideAttack' 'middlegame' 'short'],['Sicilian_Defense' 'Sicilian_Defense_Lowenthal_Variation']
002Uy,sLU7YN1A#127,8/8/1p6/k7/P1R5/1K5r/8/8 w - - 26 64,c4c3 h3c3 b3c3 a5a4 c3b2 a4b4,1602,75,97,4793,['crushing' 'defensiveMove' 'endgame' 'long' 'rookEndgame'],
002VP,7yJGEbUK/black#88,8/6p1/2B1bn2/6k1/3B4/6K1/4P3/8 b - - 4 44,e6d5 d4f6 g5f5 c6d5,1469,79,72,141,['crushing' 'endgame' 'short'],
002Z9,Ek4aENjD/black#68,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1231,99,69,51,['endgame' 'hangingPiece' 'master' 'mate' 'mateIn1' 'oneMove'],
002bK,IFGj8W5s/black#84,8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42,c6b5 a3b5 c3c2 e2d2,1122,77,93,809,['advantage' 'endgame' 'hangingPiece' 'short'],
002e5,qaapuG48/black#42,r2q4/pp1n1kbp/3P2b1/6N1/6Q1/P3P3/6P1/4K2R b K - 1 21,f7g8 g4c4 g8h8 h1h7 g6h7 g5f7,2632,78,85,375,['crushing' 'long' 'middlegame' 'sacrifice'],
002e8,ygzu5djr/black#46,r3nrk1/1b3pp1/4pb2/p3q3/1p1N4/3B2R1/PPPQN2P/1K4R1 b - - 1 23,a8d8 d2h6 g7g6 g3h3,2536,79,94,292,['crushing' 'defensiveMove' 'master' 'middlegame' 'pin' 'short'],
002mG,age2hanq#71,5r1k/B1p3pp/2Qb1p2/3Pq3/P6P/8/2P3K1/3R1R2 w - - 1 36,g2f2 f8e8 c6e8 e5e8,2234,80,91,165,['advantage' 'middlegame' 'quietMove' 'short'],
002p5,meSoQkhU/black#26,r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13,f6d5 c2h7 g8f8 h7h8,908,79,84,176,['kingsideAttack' 'mate' 'mateIn2' 'middlegame' 'short'],['French_Defense' 'French_Defense_Exchange_Variation']
002rd,NcD6lul8/black#50,r6k/q1pb1p1p/1b3Pr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 b - - 1 25,d7e6 e2f4 c5d4 f4g6 f7g6 h5h6,1795,74,79,126,['crushing' 'kingsideAttack' 'long' 'middlegame' 'pin'],
002uV,WKH5eIti#39,r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20,d3f5 e6f5 e1e7 c6e7,1562,76,90,79,['advantage' 'middlegame' 'short'],
002vV,KB7FAntf#115,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,497,88,100,505,['endgame' 'master' 'mate' 'mateIn1' 'oneMove' 'rookEndgame'],
002xh,TfRvsd3p/black#84,2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,2065,96,54,34,['crushing' 'endgame' 'long'],
0030b,mhIZR6Mc/black#64,6k1/5ppp/5nb1/pp6/6rP/5N1Q/Pq2r1P1/3R2RK b - - 4 32,g6e4 d1d8 f6e8 d8e8,605,80,90,169,['backRankMate' 'mate' 'mateIn2' 'middlegame' 'short'],
